"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"4.png","2.png","m"
"2",2,"12_R.png","4_R.png","m"
"3",3,"3_R_confound.png","3_R.png","m"
"4",4,"7.png","1.png","z"
"5",5,"1.png","1.png","m"
"6",6,"1_R.png","1_R.png","z"
"7",7,"6_R.png","2_R.png","z"
"8",8,"4_confound.png","4.png","z"
"9",9,"5_R.png","1_R.png","z"
"10",10,"4_R_confound.png","4_R.png","m"
"11",11,"2_R.png","2_R.png","z"
"12",12,"3.png","1.png","z"
"13",13,"11_R.png","3_R.png","z"
"14",14,"3_R.png","1_R.png","m"
"15",15,"1_confound.png","3.png","z"
"16",16,"5.png","1.png","m"
"17",17,"9_R.png","3_R.png","m"
"18",18,"3_confound.png","3.png","m"
"19",19,"7_R.png","1_R.png","m"
"20",20,"2_R_confound.png","4_R.png","z"
"21",21,"8.png","2.png","z"
"22",22,"10.png","4.png","m"
"23",23,"9.png","3.png","z"
"24",24,"1_R_confound.png","3_R.png","m"
"25",25,"12.png","4.png","z"
"26",26,"2.png","2.png","m"
"27",27,"10_R.png","4_R.png","z"
"28",28,"4_R.png","2_R.png","m"
"29",29,"6.png","2.png","m"
"30",30,"8_R.png","2_R.png","m"
"31",31,"11.png","3.png","m"
"32",32,"2_confound.png","4.png","m"
